CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
7909000,KRAMER,PL,,PARDEE ALY,END: 50-99 BLOCK,0,,,,,,,,"LINESTRING (-122.40819094231755 37.80217437373099, -122.40815524234392 37.80199358774326)"
7910000,KRAUSGRILL,PL,,FILBERT ST,END: 1-99 BLOCK,0,,,,,,,,"LINESTRING (-122.40891557029677 37.80142081384603, -122.40899844923396 37.80185506581635)"
7911000,KRONQUIST,CT,,START: 1-99 BLOCK,27TH ST,0,,,,,,,,"LINESTRING (-122.43500264871047 37.746963699233945, -122.43495368377955 37.74642973427435)"
19423000,LA AVANZADA,,,PALO ALTO AVE,END: 1-99 BLOCK,0,,,,,,,,"LINESTRING (-122.45211271703482 37.756653713684486, -122.45249591511212 37.75549117180808, -122.45257329311217 37.75539112182195, -122.45270981709739 37.75534300283588)"
7913000,LA BICA,WAY,,MYRA WAY,ROCKDALE DR,0,,,,,,,,"LINESTRING (-122.45297967875682 37.74064869206451, -122.45303023967254 37.74131192501363)"
7912000,LA BICA,WAY,,MOLIMO DR,MYRA WAY,0,,,,,,,,"LINESTRING (-122.45292277381506 37.74021839309582, -122.45295543376723 37.74058980506763, -122.45297967875682 37.74064869206451)"
7914000,LA BICA,WAY,,ROCKDALE DR,AGUA WAY,0,,,,,,,,"LINESTRING (-122.45303023967254 37.74131192501363, -122.45300666166801 37.74138216800612, -122.45306890757836 37.74207678595351)"
7916001,LA GRANDE,AVE,LA GRANDE,,,15,true,,,,,,,"LINESTRING (-122.42546614222331 37.72022764774237, -122.42581679627828 37.71929716784461)"
7917000,LA GRANDE,AVE,,START: 400-499 BLOCK,RUSSIA AVE,0,,,,,,,,"LINESTRING (-122.42665694440937 37.71707310308924, -122.42668483440883 37.71704143709384, -122.42683436343205 37.7166464621373)"
7916000,LA GRANDE,AVE,,INA CT,BURROWS ST,0,,,,,,,,"LINESTRING (-122.42397026100234 37.724078215315934, -122.42416984102906 37.723588760370774)"
7918000,LA GRANDE,AVE,,RUSSIA AVE,END: 600-699 BLOCK,0,,,,,,,,"LINESTRING (-122.42683436343205 37.7166464621373, -122.42717627848519 37.7157432992367)"
7915000,LA GRANDE,AVE,,AVALON AVE,INA CT,0,,,,,,,,"LINESTRING (-122.42470632905894 37.722635654488464, -122.42446374313091 37.72232582249638, -122.42444989114911 37.72218597350692, -122.42454562016728 37.721904711537015)"
7924000,LA PLAYA,ST,,JUDAH ST,KIRKHAM ST,0,,,,,,,,"LINESTRING (-122.50912799611326 37.76027738554803, -122.50900219033886 37.7584911216853, -122.50909806433405 37.75840951669901)"
7921000,LA PLAYA,ST,,CABRILLO ST,FULTON ST,0,,,,,,,,"LINESTRING (-122.51002372747604 37.77325453254943, -122.50988152171323 37.77139109469176)"
7920000,LA PLAYA,ST,,BALBOA ST,CABRILLO ST,0,,,,,,,,"LINESTRING (-122.51015557923976 37.775122588405935, -122.51002372747604 37.77325453254943)"
7922000,LA PLAYA,ST,,LINCOLN WAY,IRVING ST,0,,,,,,,,"LINESTRING (-122.50938896363994 37.764027798259505, -122.50925585287874 37.76213798540476)"
7919000,LA PLAYA,ST,,BALBOA ST,END: 200-299 BLOCK,0,,,,,,,,"LINESTRING (-122.51015557923976 37.775122588405935, -122.51014131322906 37.77523327739583, -122.51021737809678 37.77627582331593)"
7923000,LA PLAYA,ST,,IRVING ST,JUDAH ST,0,,,,,,,,"LINESTRING (-122.50925585287874 37.76213798540476, -122.50912799611326 37.76027738554803)"
7931103,LA SALLE,AVE,,LAS VILLAS CT,CASHMERE ST,0,,,,,,,,"LINESTRING (-122.38574227957302 37.73398344271417, -122.3859048704936 37.7344601386866, -122.38607482943189 37.73477453867305, -122.3863982443467 37.735093338670296, -122.38662623329247 37.73526758467249, -122.38708703119168 37.735543601683226, -122.38716241016728 37.7356566646794)"
7934000,LA SALLE,AVE,,03RD ST,NEWHALL ST,0,,,,,,,,"LINESTRING (-122.38985125559094 37.73716458875081, -122.39050789444973 37.737536781767965)"
7932101,LA SALLE,AVE,,CASHMERE ST,MENDELL ST,0,,,,,,,,"LINESTRING (-122.38716241016728 37.7356566646794, -122.38731832914296 37.735665389690034, -122.38858659387017 37.73638499172302, -122.38863976485148 37.73647787771924)"
7931201,LA SALLE,AVE,,NEWCOMB AVE,LINDSAY CIR,0,,,,,,,,"LINESTRING (-122.38498833379171 37.733065878735005, -122.38504099077164 37.73317184373008, -122.38514421474689 37.733252212730925, -122.38529710169925 37.7334666747244, -122.38560094659533 37.7339730377047, -122.38576968750981 37.73449487267387, -122.38595299144436 37.73482448566003, -122.38605399541724 37.734928193658796)"
7930000,LA SALLE,AVE,,GARLINGTON CT,NEWCOMB AVE,0,,,,,,,,"LINESTRING (-122.3842662469481 37.73264695971696, -122.38440279692026 37.73271161872161, -122.38485235282504 37.73295371173436, -122.38498833379171 37.733065878735005)"
7935000,LA SALLE,AVE,,NEWHALL ST,PHELPS ST,0,,,,,,,,"LINESTRING (-122.39050789444973 37.737536781767965, -122.39237975604725 37.73859774181675)"
