OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
11137,Silver Ave&Santa Fe Ave SW-NS/PS,SILVSTF0,,7288,37.734773,-122.401592,,SANTA FE AVE,SILVER AVE,,,,,04/20/2020 11:54:43 AM +0000,2207673,121,,"(37.73476805780312, -122.4015787921142)",87,2,9,1
9214,Newcomb Ave&La Salle Ave N-NS/PS,NEWCLSA1,NEWCLSAL,5489,37.733196,-122.385052,0,LA SALLE AVE,NEWCOMB AVE,NS,N,,0,04/20/2020 11:54:43 AM +0000,2210196,121,,"(37.73319105672835, -122.3850387947697)",86,2,9,1
9529,Whitney Young Cir&Progress St SE-FS,WTYGPRG0,WTYGPRGS,6983,37.733248,-122.383082,0,PROGRESS ST,WHITNEY YOUNG CIR,FS,SE,,0,04/20/2020 11:54:43 AM +0000,2208864,121,,"(37.73324305658056, -122.3830687950584)",86,2,9,1
10207,Fillmore St&Lombard St SW-FS/BZ,FILLLOM0,FILLLOMB,4627,37.799595,-122.436051,0,LOMBARD ST,FILLMORE ST,FS,SW,BZ,1,04/20/2020 11:54:43 AM +0000,2204603,121,,"(37.79959005498004, -122.43603777945647)",15,4,6,13
10549,Divisadero St&Eddy St SE-NS/BZ,DIVIEDD1,DIVIEDDY,4414,37.780591,-122.438942,0,SCOTT ST,EDDY ST,NS,SE,BZ,1,04/20/2020 11:54:43 AM +0000,2204045,121,,"(37.780586056753705, -122.43892878123032)",13,4,11,39
10314,Market St&Noe St S-NS/SI,MRKTNOE1,MRKTNOE,5687,37.763958,-122.433323,0,NOE ST,MARKET ST,NS,S,SI,0,04/20/2020 11:54:43 AM +0000,2206008,121,,"(37.763953057711774, -122.43330978399709)",38,3,5,5
7849,26th St&Noe St NW-FS/SB,26STNOE1,26STNOE,3520,37.74827,-122.43177,0,NOE ST,26TH ST,FS,NW,,1,04/20/2020 11:54:43 AM +0000,2203438,121,,"(37.748265058890105, -122.43175678604469)",84,3,5,22
8275,Fillmore St&Golden Gate Ave NE-FS,FILLG G1,FILLG G,4613,37.779859,-122.431955,0,GOLDEN GATE AVE,FILLMORE ST,FS,NE,BZ,1,04/20/2020 11:54:43 AM +0000,2204499,121,,"(37.779854056303456, -122.43194178235878)",97,4,11,39
10418,Mission St&Trumbull St W-FS/BZ,MISSTRU0,MISSTRUM,5625,37.73045,-122.42971,0,TRUMBULL ST,MISSION ST,FS,W,BZ,0,04/20/2020 11:54:43 AM +0000,2205512,121,,"(37.730445060208154, -122.42969678841189)",94,9,1,28
10386,Mission St&3rd St E-FS/BZ,MISS 3S1,MISS 3ST,5531,37.78651,-122.40157,0,3RD ST,MISSION ST,FS,E,BZ,0,04/20/2020 11:54:43 AM +0000,2205199,121,,"(37.786505053536125, -122.40155678612842)",32,1,10,8
